S,T,Magnitude,X,Y,Temperature
70,99,0.024663248,0.7666332,-0.6420854,0.8357183
71,99,0.084663248,-0.038257,0.9992679,0.854569
72,99,0.079422594,-0.9528571,-0.3034193,0.8585057
73,99,0.099422594,-0.0526307,-0.9986141,0.8792624
74,99,0,0,0,0.9080364
83,99,0.419767877,-0.3167,0.9485258,0.8913793
84,99,0.111656554,0.685277,-0.7282825,0.8976915
85,99,0.131656554,-0.6901578,-0.7236589,0.9004406
86,99,0.209885066,-0.0613009,-0.9981194,0.9016475
87,99,0,0,0,0.900546
88,99,0,0,0,0.8963314
89,99,0,0,0,0.8718774
93,99,0.708179669,-0.3015435,-0.9534524,0.8887069
94,99,0.111998668,0.8369104,-0.5473399,0.9044827
95,99,0.071998668,-0.118669,0.9929339,0.9095498
96,99,0.067990053,-0.9630008,-0.2694987,0.905479
97,99,0.127990053,-0.9940479,-0.1089438,0.9066283
98,99,0.105173461,-0.8685167,0.4956599,0.9107567
99,99,0.005173461,-0.7730295,0.63437,0.915862
100,99,0.273902023,0.8324579,-0.5540884,0.9174042
101,99,0.373902023,0.2033351,-0.9791092,0.9324617
104,99,0,0,0,0.8881322
105,99,0.058663156,0.9750059,-0.2221788,0.8923275
106,99,0.216249299,0.9455279,-0.3255412,0.8908908
107,99,0.096249299,0.792307,-0.6101226,0.8877298
108,99,0.222246185,0.9088893,-0.4170375,0.8932279
109,99,0.162246185,0.9491638,-0.3147826,0.8856609
110,99,0.063446049,0.5701342,-0.8215516,0.8880172
111,99,0.103446049,0.8591349,-0.5117492,0.8907759
112,99,0.087255057,0.9673367,-0.2534952,0.8820594
113,99,0.087255057,0.9969234,0.0783816,0.882931
114,99,0.074974548,0.9685531,-0.2488071,0.8772988
115,99,0.074974548,0.9744997,-0.2243887,0.8771264
116,99,0.033532886,0.9870912,-0.1601588,0.879454
117,99,0.033532886,0.7268611,-0.6867845,0.872136
118,99,0.034877941,0.4007153,-0.9162026,0.8725383
119,99,0.034877941,0.6323391,-0.7746918,0.8701149
120,99,0.05614788,0.974529,-0.2242615,0.8673084
121,99,0.03614788,0.9667366,-0.2557741,0.8616954
122,99,0.046566255,0.6935702,-0.7203891,0.8608812
123,99,0.046566255,0.8696103,-0.4937387,0.8574808
124,99,0.046309095,0.9577244,-0.2876873,0.8542625
125,99,0.046309095,0.885235,-0.4651441,0.8558908
126,99,0.055809437,0.786752,-0.6172692,0.8543103
127,99,0.015809437,0.7304366,-0.6829805,0.8510249
128,99,0.060045192,0.7893426,-0.6139529,0.8588697
129,99,0.040045192,0.8453003,-0.5342915,0.852931
130,99,0.019327514,0.8731658,0.4874232,0.8464847
131,99,0.039327514,0.9871122,-0.1600301,0.8425383
132,99,0.049091512,0.9059812,-0.4233178,0.8356897
133,99,0.069091512,0.8976877,-0.4406323,0.835364
134,99,0.054156446,0.9762913,-0.2164608,0.8334387
135,99,0.054156446,0.9261259,-0.3772144,0.8315805
136,99,0.06190713,0.5118356,-0.8590835,0.8387069
137,99,0.06190713,0.9995873,0.0287274,0.8261494
138,99,0.068481192,0.9240978,-0.3821562,0.8276436
139,99,0.068481192,0.9741628,0.2258469,0.8154119
140,99,0.056923078,0.9994422,0.0333967,0.8057471
141,99,0.076923078,0.9379728,-0.346709,0.8019157
142,99,0.062490244,0.9459905,-0.3241943,0.8014176
143,99,0.042490244,0.9443949,-0.3288134,0.7958621
144,99,0.057712528,0.9891239,-0.1470846,0.7961111
145,99,0.057712528,0.9865778,-0.1632918,0.7951341
146,99,0.086804516,0.9640402,-0.2657564,0.7922318
147,99,0.086804516,0.9712511,-0.2380573,0.789818
148,99,0.062882889,0.9901505,0.1400071,0.7896839
149,99,0.062882889,0.9688787,-0.2475357,0.7867145
150,99,0.032610608,0.9878446,-0.1554442,0.7861686
151,99,0.052610608,0.9547741,0.297332,0.7855459
152,99,0.083612737,0.9113094,-0.4117222,0.7844636
153,99,0.083612737,0.9991993,-0.0400109,0.7839367
154,99,0.091118165,0.9859453,0.1670686,0.7845306
155,99,0.071118165,0.9318016,-0.3629681,0.7843007
156,99,0.079348768,0.9999187,0.0127536,0.7751341
157,99,0.059348768,0.9594579,0.2818519,0.7724425
158,99,0.118046045,0.9989714,-0.0453448,0.7634962
159,99,0.098046045,0.9921997,0.1246586,0.7504119
160,99,0.163446166,0.9940826,0.1086271,0.7505747
161,99,0.143446166,0.9405029,-0.3397857,0.7392624
162,99,0.085186556,0.2016465,-0.9794583,0.7182471
217,99,0.061690598,0.4198416,0.9075974,0.9116571
218,99,0,0,0,0.9199425
0,98,0.01937286,0.7446001,-0.6675108,0.8776724
1,98,0.03937286,0.2656363,-0.9640733,0.8708908
2,98,0.036893539,0.2516005,-0.9678312,0.8718774
3,98,0.076893539,-0.0622289,-0.9980619,0.8730077
4,98,0.029250692,-0.217321,-0.9761002,0.8724234
5,98,0.029250692,-0.1590495,-0.9872706,0.8696935
6,98,0.024954651,0.3093159,-0.9509593,0.8693774
7,98,0.024954651,-0.3701034,-0.9289906,0.8646168
8,98,0.020931169,0.2053324,-0.9786923,0.8609675
9,98,0.000931169,-0.2958922,-0.9552214,0.8622892
10,98,0.073338727,-0.5412877,-0.8408375,0.8590996
11,98,0.093338727,-0.6248522,-0.7807431,0.8565996
12,98,0.085020608,-0.5796475,-0.8148673,0.8554597
13,98,0.105020608,-0.9679978,-0.2509586,0.8530843
14,98,0.106792733,-0.9446537,-0.3280692,0.851044
15,98,0.086792733,-0.96159,-0.2744899,0.8531705
16,98,0.097484196,-0.9649991,-0.2622531,0.8563313
17,98,0.157484196,-0.8860111,-0.4636639,0.8514655
18,98,0.127272427,-0.9996694,-0.0257118,0.8543965
19,98,0.127272427,-0.7448552,-0.6672261,0.8475958
20,98,0.105897675,-0.9771803,-0.2124116,0.8400383
21,98,0.205897675,-0.9996119,0.0278567,0.8425766
22,98,0.261994012,-0.9980899,-0.061778,0.8295019
23,98,0.381994012,-0.9422805,-0.3348246,0.8214368
24,98,0,0,0,0.8176532
25,98,0.067641251,0.9333522,-0.3589619,0.8164751
26,98,0.127721425,0.9284928,-0.3713504,0.8133237
27,98,0.107721425,0.9984026,-0.0564997,0.8103161
28,98,0.113258622,0.9590837,-0.2831227,0.8066858
29,98,0.113258622,0.9460477,-0.3240275,0.7952203
30,98,0.129469417,0.9518409,-0.3065923,0.7879023
31,98,0.109469417,0.9981919,0.0601082,0.7876149
32,98,0.081800967,0.9964987,-0.0836081,0.7818869
33,98,0.121800967,0.9703127,-0.241854,0.7789751
34,98,0.118348569,0.8644859,-0.5026571,0.7737452
35,98,0.118348569,0.9986149,-0.0526138,0.7700191
